latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
18.069,-89.426,320.7,1,1,2020-03-22,1920,A,57,6.0NRT,299.7,10.5,D
18.067,-89.435,321.6,1,1,2020-03-22,1920,A,41,6.0NRT,302.7,11.7,D
18.097,-89.421,317.1,1,1,2020-03-22,1920,A,28,6.0NRT,298.1,8.2,D
18.297,-88.32,326,1,1,2020-03-22,1920,A,75,6.0NRT,303.5,15,D
17.708,-92.467,322.4,1.3,1.1,2020-03-22,1920,A,72,6.0NRT,304.7,15.5,D
17.718,-92.469,319.2,1.3,1.1,2020-03-22,1920,A,67,6.0NRT,304.3,10.8,D
17.655,-93.363,314.4,1.4,1.2,2020-03-22,1920,A,49,6.0NRT,301.4,8.2,D
18.109,-90.894,368.3,1.1,1,2020-03-22,1920,A,100,6.0NRT,309.2,109,D
18.108,-90.904,347.9,1.1,1,2020-03-22,1920,A,94,6.0NRT,308,51,D
17.889,-92.487,332.1,1.3,1.1,2020-03-22,1920,A,63,6.0NRT,302.7,31.2,D
18.218,-90.602,339.4,1,1,2020-03-22,1920,A,89,6.0NRT,300.1,35.5,D
17.838,-93.113,327.2,1.4,1.2,2020-03-22,1920,A,78,6.0NRT,303.7,24.9,D
17.836,-93.126,348.4,1.4,1.2,2020-03-22,1920,A,94,6.0NRT,304.9,78.4,D
17.89,-93.189,335.4,1.4,1.2,2020-03-22,1920,A,86,6.0NRT,307,40.8,D
17.887,-93.202,324,1.4,1.2,2020-03-22,1920,A,73,6.0NRT,306.1,17.6,D
17.504,-95.473,318.4,2,1.4,2020-03-22,1920,A,68,6.0NRT,297,27.7,D
17.501,-95.492,320.7,2.1,1.4,2020-03-22,1920,A,72,6.0NRT,296.8,34,D
17.902,-93.178,324.8,1.4,1.2,2020-03-22,1920,A,76,6.0NRT,305.1,18.5,D
17.9,-93.191,336.3,1.4,1.2,2020-03-22,1920,A,87,6.0NRT,306.9,43.1,D
17.505,-95.479,322.7,2,1.4,2020-03-22,1920,A,75,6.0NRT,296.9,37,D
18.205,-91.591,327.3,1.1,1.1,2020-03-22,1920,A,55,6.0NRT,302,20.1,D
18.204,-91.601,341.3,1.1,1.1,2020-03-22,1920,A,90,6.0NRT,303.6,43.5,D
18.251,-91.417,327.6,1.1,1,2020-03-22,1920,A,70,6.0NRT,306.4,16.8,D
17.985,-93.531,323.3,1.5,1.2,2020-03-22,1920,A,75,6.0NRT,305.1,18.4,D
18.249,-92.159,314.3,1.2,1.1,2020-03-22,1920,A,41,6.0NRT,299.1,7.8,D
18.457,-91.401,341.3,1.1,1,2020-03-22,1920,A,83,6.0NRT,310.5,39.2,D
18.456,-91.412,340.1,1.1,1,2020-03-22,1920,A,88,6.0NRT,309.4,36.5,D
17.967,-94.528,324.9,1.7,1.3,2020-03-22,1920,A,0,6.0NRT,298.5,37.6,D
18.213,-93.891,312.6,1.5,1.2,2020-03-22,1920,A,45,6.0NRT,298.3,8.7,D
19.071,-88.583,330.1,1,1,2020-03-22,1920,A,81,6.0NRT,303.2,19.1,D
18.823,-90.756,331.7,1,1,2020-03-22,1920,A,83,6.0NRT,303.6,23.2,D
19.285,-88.36,319.8,1,1,2020-03-22,1920,A,35,6.0NRT,303.4,9.7,D
17.728,-98.372,336.3,3.4,1.7,2020-03-22,1920,A,86,6.0NRT,309.7,140,D
17.73,-98.344,323.7,3.3,1.7,2020-03-22,1920,A,55,6.0NRT,309.3,50.1,D
17.723,-98.375,333.2,3.4,1.7,2020-03-22,1920,A,83,6.0NRT,309.7,114.1,D
19.307,-89.454,336.5,1,1,2020-03-22,1920,A,81,6.0NRT,307.7,26.7,D
19.211,-90.373,327.8,1,1,2020-03-22,1920,A,56,6.0NRT,307.1,15.4,D
17.866,-98.446,331.8,3.4,1.7,2020-03-22,1920,A,82,6.0NRT,308.8,106,D
19.395,-89.485,334.1,1,1,2020-03-22,1920,A,53,6.0NRT,309.9,24.1,D
19.394,-89.494,339,1,1,2020-03-22,1920,A,88,6.0NRT,309.3,31.1,D
17.862,-98.449,325.7,3.4,1.7,2020-03-22,1920,A,74,6.0NRT,308.2,61,D
19.602,-88.256,321.1,1.1,1,2020-03-22,1920,A,68,6.0NRT,302.9,11,D
19.6,-88.266,331.8,1.1,1,2020-03-22,1920,A,82,6.0NRT,302.6,24.5,D
19.486,-90.129,333.7,1,1,2020-03-22,1920,A,83,6.0NRT,308.6,19.6,D
19.485,-90.138,350.9,1,1,2020-03-22,1920,A,95,6.0NRT,307.8,50.7,D
19.556,-89.711,334.5,1,1,2020-03-22,1920,A,71,6.0NRT,308.4,22.6,D
19.616,-90.377,326.7,1,1,2020-03-22,1920,A,30,6.0NRT,305.8,13.1,D
19.75,-89.832,331.7,1,1,2020-03-22,1920,A,38,6.0NRT,311,15.8,D
19.711,-90.67,333,1,1,2020-03-22,1920,A,60,6.0NRT,303.7,23.7,D
19.799,-90.263,334.4,1,1,2020-03-22,1920,A,81,6.0NRT,312.1,19.2,D
19.93,-89.797,331,1,1,2020-03-22,1920,A,77,6.0NRT,313.3,13,D
19.929,-89.806,331.3,1,1,2020-03-22,1920,A,77,6.0NRT,314.2,14.2,D
19.831,-90.479,326.9,1,1,2020-03-22,1920,A,47,6.0NRT,306.1,11.8,D
20.172,-88.185,323.9,1.1,1,2020-03-22,1920,A,62,6.0NRT,304.1,11.4,D
19.982,-89.757,334.3,1,1,2020-03-22,1920,A,81,6.0NRT,317.2,16.5,D
19.987,-89.787,333,1,1,2020-03-22,1920,A,80,6.0NRT,314.1,16.1,D
19.985,-89.796,328,1,1,2020-03-22,1920,A,69,6.0NRT,312.8,9.8,D
20.165,-88.985,327.7,1,1,2020-03-22,1920,A,73,6.0NRT,310.8,11.1,D
20.033,-89.985,336.4,1,1,2020-03-22,1920,A,81,6.0NRT,314,19.3,D
20.031,-89.994,336.1,1,1,2020-03-22,1920,A,82,6.0NRT,315.4,18.7,D
20.009,-90.145,336.7,1,1,2020-03-22,1920,A,83,6.0NRT,313.3,20.5,D
20.04,-89.995,331.1,1,1,2020-03-22,1920,A,76,6.0NRT,312.5,13.1,D
20.116,-89.723,327.4,1,1,2020-03-22,1920,A,69,6.0NRT,310,11.2,D
20.114,-89.733,323.9,1,1,2020-03-22,1920,A,56,6.0NRT,310.4,7.2,D
20.095,-89.933,331.2,1,1,2020-03-22,1920,A,51,6.0NRT,315.3,11.1,D
20.104,-89.934,343.9,1,1,2020-03-22,1920,A,89,6.0NRT,316.8,30,D
20.081,-90.095,330.7,1,1,2020-03-22,1920,A,73,6.0NRT,313.7,13.2,D
20.075,-90.133,332.1,1,1,2020-03-22,1920,A,68,6.0NRT,314.8,15.7,D
20.077,-90.182,330,1,1,2020-03-22,1920,A,72,6.0NRT,313.7,11.7,D
19.135,-96.244,327.1,2.2,1.4,2020-03-22,1920,A,73,6.0NRT,309.2,27.4,D
20.184,-90.022,333.1,1,1,2020-03-22,1920,A,65,6.0NRT,317.6,10.9,D
20.172,-90.165,349,1,1,2020-03-22,1920,A,93,6.0NRT,315.5,41.6,D
20.171,-90.175,343.7,1,1,2020-03-22,1920,A,89,6.0NRT,314.9,31.2,D
20.315,-89.296,327.5,1,1,2020-03-22,1920,A,69,6.0NRT,312.6,10.1,D
20.433,-88.768,323.8,1,1,2020-03-22,1920,A,62,6.0NRT,309.6,6.6,D
20.288,-90.064,332.4,1,1,2020-03-22,1920,A,67,6.0NRT,316.3,10.8,D
20.327,-89.983,324.6,1,1,2020-03-22,1920,A,23,6.0NRT,311.5,5.1,D
20.339,-90.098,335.7,1,1,2020-03-22,1920,A,81,6.0NRT,315.7,18.7,D
20.611,-88.407,324.8,1.1,1,2020-03-22,1920,A,67,6.0NRT,309.3,9.3,D
20.61,-88.417,325,1.1,1,2020-03-22,1920,A,67,6.0NRT,309.8,9.7,D
20.564,-89.023,329.3,1,1,2020-03-22,1920,A,73,6.0NRT,311.1,9.8,D
20.573,-89.021,342.7,1,1,2020-03-22,1920,A,88,6.0NRT,315.9,31.2,D
20.598,-88.906,339.2,1,1,2020-03-22,1920,A,85,6.0NRT,312.9,26.7,D
20.537,-89.349,337.6,1,1,2020-03-22,1920,A,83,6.0NRT,316.6,19.9,D
20.535,-89.359,338,1,1,2020-03-22,1920,A,84,6.0NRT,316.7,21.1,D
20.546,-89.351,333,1,1,2020-03-22,1920,A,78,6.0NRT,314.4,13.2,D
20.544,-89.36,345.3,1,1,2020-03-22,1920,A,90,6.0NRT,315.5,34.2,D
20.528,-89.863,327.2,1,1,2020-03-22,1920,A,66,6.0NRT,313.6,9.4,D
20.54,-90.047,325.4,1,1,2020-03-22,1920,A,52,6.0NRT,311.6,7,D
20.538,-90.056,327.7,1,1,2020-03-22,1920,A,65,6.0NRT,312.2,9.2,D
20.531,-90.103,326.7,1,1,2020-03-22,1920,A,61,6.0NRT,313.4,6.5,D
20.53,-90.113,349.7,1,1,2020-03-22,1920,A,93,6.0NRT,315.4,43.1,D
20.595,-89.726,334.5,1,1,2020-03-22,1920,A,79,6.0NRT,314,18.5,D
20.547,-90.058,337.4,1,1,2020-03-22,1920,A,82,6.0NRT,314.2,21.9,D
20.604,-89.727,347.2,1,1,2020-03-22,1920,A,91,6.0NRT,312.1,40.3,D
20.568,-90.042,326.5,1,1,2020-03-22,1920,A,43,6.0NRT,313.1,7.3,D
20.757,-89.022,335,1,1,2020-03-22,1920,A,80,6.0NRT,314.7,17.9,D
20.755,-89.032,371.4,1,1,2020-03-22,1920,A,100,6.0NRT,317,106.1,D
19.353,-97.754,358,2.8,1.6,2020-03-22,1920,A,99,6.0NRT,320.6,271.5,D
20.784,-89.817,328.1,1,1,2020-03-22,1920,A,65,6.0NRT,314.2,8.8,D
21.155,-87.455,345.6,1.2,1.1,2020-03-22,1920,A,91,6.0NRT,303.3,55.6,D
21.154,-87.466,346.9,1.2,1.1,2020-03-22,1920,A,92,6.0NRT,302.6,58.2,D
20.938,-89.172,333.9,1,1,2020-03-22,1920,A,76,6.0NRT,315,14.7,D
20.949,-89.164,333.2,1,1,2020-03-22,1920,A,57,6.0NRT,313.3,12.3,D
20.947,-89.174,411.7,1,1,2020-03-22,1920,A,100,6.0NRT,323.6,318.3,D
20.946,-89.183,411.5,1,1,2020-03-22,1920,A,100,6.0NRT,326.7,316.5,D
20.91,-89.443,344.2,1,1,2020-03-22,1920,A,89,6.0NRT,316,30.7,D
20.909,-89.453,342,1,1,2020-03-22,1920,A,87,6.0NRT,318.6,26.9,D
20.871,-89.72,328.3,1,1,2020-03-22,1920,A,63,6.0NRT,313.4,8.9,D
