latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,latlongtuple
18.534000000000002,-88.691,313.9,3.3,1.7,2020-03-21,1710,T,59,6.0NRT,295.5,41.9,D,"(18.534000000000002, -88.691)"
18.528,-88.66,316.1,3.3,1.7,2020-03-21,1710,T,69,6.0NRT,296.7,52.0,D,"(18.528, -88.66)"
20.686,-103.87200000000001,321.0,2.2,1.4,2020-03-21,1710,T,43,6.0NRT,302.2,19.7,D,"(20.686, -103.87200000000001)"
20.686999999999998,-103.87799999999999,323.8,2.2,1.4,2020-03-21,1710,T,65,6.0NRT,302.9,32.0,D,"(20.686999999999998, -103.87799999999999)"
20.553,-103.016,325.5,1.9,1.3,2020-03-21,1710,T,69,6.0NRT,303.3,26.3,D,"(20.553, -103.016)"
20.480999999999998,-102.977,324.4,1.9,1.3,2020-03-21,1710,T,67,6.0NRT,304.2,21.0,D,"(20.480999999999998, -102.977)"
18.493,-90.152,314.8,2.5,1.5,2020-03-21,1710,T,63,6.0NRT,293.0,31.2,D,"(18.493, -90.152)"
18.486,-90.16,317.2,2.5,1.5,2020-03-21,1710,T,67,6.0NRT,294.2,37.0,D,"(18.486, -90.16)"
18.413,-91.35,320.2,2.1,1.4,2020-03-21,1710,T,45,6.0NRT,299.7,24.9,D,"(18.413, -91.35)"
18.414,-91.429,321.0,2.0,1.4,2020-03-21,1710,T,66,6.0NRT,299.1,25.9,D,"(18.414, -91.429)"
18.413,-91.435,319.8,2.0,1.4,2020-03-21,1710,T,60,6.0NRT,299.4,23.6,D,"(18.413, -91.435)"
19.425,-98.303,332.2,1.0,1.0,2020-03-21,1710,T,77,6.0NRT,304.6,21.3,D,"(19.425, -98.303)"
19.416,-98.304,323.9,1.0,1.0,2020-03-21,1710,T,71,6.0NRT,303.1,12.4,D,"(19.416, -98.304)"
19.415,-98.295,316.5,1.0,1.0,2020-03-21,1710,T,18,6.0NRT,300.8,4.7,D,"(19.415, -98.295)"
17.793,-88.675,316.8,3.4,1.7,2020-03-21,1710,T,56,6.0NRT,291.7,52.6,D,"(17.793, -88.675)"
18.2,-91.801,319.0,1.9,1.4,2020-03-21,1710,T,71,6.0NRT,302.2,25.1,D,"(18.2, -91.801)"
17.801,-91.84700000000001,322.6,2.0,1.4,2020-03-21,1710,T,75,6.0NRT,300.6,29.1,D,"(17.801, -91.84700000000001)"
17.891,-92.484,319.2,1.8,1.3,2020-03-21,1710,T,60,6.0NRT,300.7,20.5,D,"(17.891, -92.484)"
19.337,-102.56200000000001,323.2,1.7,1.3,2020-03-21,1710,T,72,6.0NRT,302.6,14.3,D,"(19.337, -102.56200000000001)"
19.335,-102.546,322.1,1.7,1.3,2020-03-21,1710,T,68,6.0NRT,302.3,11.7,D,"(19.335, -102.546)"
17.898,-93.18299999999999,341.9,1.6,1.2,2020-03-21,1710,T,90,6.0NRT,300.4,73.1,D,"(17.898, -93.18299999999999)"
18.277,-95.51799999999999,316.0,1.1,1.1,2020-03-21,1710,T,50,6.0NRT,295.1,8.3,D,"(18.277, -95.51799999999999)"
17.897000000000002,-93.19,335.4,1.6,1.2,2020-03-21,1710,T,86,6.0NRT,300.6,53.1,D,"(17.897000000000002, -93.19)"
17.895,-93.176,331.0,1.6,1.2,2020-03-21,1710,T,82,6.0NRT,300.0,41.2,D,"(17.895, -93.176)"
17.886,-93.19200000000001,317.6,1.6,1.2,2020-03-21,1710,T,64,6.0NRT,300.1,13.7,D,"(17.886, -93.19200000000001)"
17.973,-93.774,318.4,1.4,1.2,2020-03-21,1710,T,65,6.0NRT,304.1,14.2,D,"(17.973, -93.774)"
17.909000000000002,-93.522,330.2,1.5,1.2,2020-03-21,1710,T,81,6.0NRT,300.6,36.4,D,"(17.909000000000002, -93.522)"
17.840999999999998,-93.126,326.5,1.6,1.2,2020-03-21,1710,T,78,6.0NRT,299.5,31.8,D,"(17.840999999999998, -93.126)"
17.839000000000002,-93.111,331.1,1.6,1.2,2020-03-21,1710,T,83,6.0NRT,298.6,44.1,D,"(17.839000000000002, -93.111)"
17.867,-93.493,314.2,1.5,1.2,2020-03-21,1710,T,52,6.0NRT,298.5,7.8,D,"(17.867, -93.493)"
